Date,Adj Close
16/10/2018,2817.75
17/10/2018,2816.25
18/10/2018,2772.25
19/10/2018,2767.5
21/10/2018,null
22/10/2018,2756.5
23/10/2018,2746.25
24/10/2018,2664.25
25/10/2018,2688.25
26/10/2018,2669.5
28/10/2018,null
29/10/2018,2643.5
30/10/2018,2685.25
31/10/2018,2711
01/11/2018,2738
02/11/2018,2724.25
04/11/2018,null
05/11/2018,2739.5
06/11/2018,2759
07/11/2018,2816.5
08/11/2018,2808.75
09/11/2018,2779
11/11/2018,null
12/11/2018,2727.75
13/11/2018,2727.5
14/11/2018,2698.5
15/11/2018,2734.5
16/11/2018,2743
18/11/2018,null
19/11/2018,2696.25
20/11/2018,2640
21/11/2018,2649
23/11/2018,null
25/11/2018,null
26/11/2018,2670
27/11/2018,2683.5
28/11/2018,2741.5
29/11/2018,2744.25
30/11/2018,2758.25
02/12/2018,null
03/12/2018,2790.75
04/12/2018,2701.75
06/12/2018,2691
07/12/2018,2636
09/12/2018,null
10/12/2018,2643
11/12/2018,2641.25
12/12/2018,2652.5
13/12/2018,2645.5
14/12/2018,2602
16/12/2018,null
17/12/2018,2552.5
18/12/2018,2535.75
19/12/2018,2503.25
20/12/2018,2485.75
21/12/2018,2467.75
23/12/2018,null
24/12/2018,null
26/12/2018,2471
27/12/2018,2495
28/12/2018,2486
30/12/2018,null
31/12/2018,2505.25
02/01/2019,2511
03/01/2019,2447.75
04/01/2019,2531.25
06/01/2019,null
07/01/2019,2550.5
08/01/2019,2572.5
09/01/2019,2582.5
10/01/2019,2594
11/01/2019,2595
13/01/2019,null
14/01/2019,2580.5
15/01/2019,2605.5
16/01/2019,2613.25
17/01/2019,2635.25
18/01/2019,2671.5
20/01/2019,null
22/01/2019,2632
23/01/2019,2638.25
24/01/2019,2634
25/01/2019,2663.5
27/01/2019,null
28/01/2019,2642
29/01/2019,2640.25
30/01/2019,2682.5
31/01/2019,2704.5
01/02/2019,2704.25
03/02/2019,null
04/02/2019,2721.25
